,Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,Age
1015,F,0.625,0.485,0.2,1.38,0.5845,0.302,0.401,9,7.5
1016,M,0.63,0.485,0.155,1.278,0.637,0.275,0.31,8,6.5
1017,F,0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11,9.5
1018,M,0.63,0.48,0.15,1.1785,0.5185,0.248,0.3235,8,6.5
1019,M,0.635,0.49,0.175,1.375,0.623,0.2705,0.395,11,9.5
1020,M,0.635,0.525,0.185,1.4065,0.684,0.3,0.3745,10,8.5
1021,M,0.64,0.505,0.155,1.4025,0.705,0.2655,0.335,10,8.5
1022,F,0.64,0.5,0.17,1.5175,0.693,0.326,0.409,11,9.5
1023,F,0.64,0.5,0.175,1.3940000000000001,0.4935,0.29100000000000004,0.4,10,8.5
1024,F,0.645,0.5,0.155,1.2205,0.6145,0.23600000000000002,0.3185,10,8.5
1025,M,0.645,0.52,0.175,1.636,0.779,0.342,0.43200000000000005,11,9.5
1026,M,0.645,0.52,0.175,1.561,0.7090000000000001,0.3555,0.4,8,6.5
1027,F,0.645,0.505,0.165,1.4325,0.684,0.308,0.336,8,6.5
1028,M,0.645,0.5,0.175,1.3385,0.633,0.299,0.349,11,9.5
1029,F,0.645,0.5,0.16,1.2465,0.5475,0.327,0.3,10,8.5
1030,F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10,8.5
1031,M,0.65,0.495,0.16,1.304,0.57,0.312,0.3725,9,7.5
1032,M,0.65,0.52,0.21,1.6785,0.6665,0.308,0.46,11,9.5
1033,M,0.65,0.525,0.185,1.6219999999999999,0.6645,0.3225,0.47700000000000004,10,8.5
1034,F,0.655,0.46,0.16,1.494,0.6895,0.331,0.1825,9,7.5
1035,F,0.655,0.51,0.175,1.6525,0.8515,0.3365,0.40299999999999997,10,8.5
1036,F,0.66,0.505,0.185,1.528,0.69,0.3025,0.441,11,9.5
1037,M,0.66,0.535,0.19,1.5905,0.6425,0.297,0.5175,9,7.5
1038,M,0.66,0.495,0.195,1.6275,0.594,0.3595,0.485,10,8.5
1039,F,0.66,0.475,0.18,1.3695,0.6409999999999999,0.294,0.335,6,4.5
1040,M,0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11,9.5
1041,F,0.675,0.57,0.225,1.587,0.7390000000000001,0.2995,0.435,10,8.5
1042,F,0.675,0.565,0.195,1.8375,0.7645,0.3615,0.5529999999999999,12,10.5
1043,M,0.68,0.535,0.185,1.607,0.7245,0.3215,0.498,12,10.5
1044,M,0.69,0.525,0.175,1.7005,0.8255,0.36200000000000004,0.405,8,6.5
1045,M,0.69,0.505,0.2,1.8719999999999999,0.893,0.4015,0.48,10,8.5
1046,F,0.695,0.535,0.175,1.8385,0.8035,0.396,0.503,10,8.5
1047,F,0.705,0.535,0.18,1.685,0.693,0.42,0.4045,12,10.5
1048,M,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11,9.5
1049,M,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,10,8.5
1050,F,0.715,0.525,0.185,1.56,0.6655,0.38299999999999995,0.405,11,9.5
1051,F,0.735,0.6,0.22,2.555,1.1335,0.44,0.6,11,9.5
1052,M,0.765,0.6,0.22,2.302,1.0070000000000001,0.509,0.6205,12,10.5
1053,I,0.185,0.13,0.045,0.028999999999999998,0.012,0.0075,0.0095,4,2.5
1054,I,0.195,0.15,0.045,0.0375,0.018000000000000002,0.006,0.011000000000000001,3,1.5
1055,I,0.195,0.135,0.04,0.0325,0.0135,0.005,0.0095,4,2.5
1056,I,0.2,0.155,0.04,0.0435,0.0155,0.009000000000000001,0.006999999999999999,4,2.5
1057,I,0.225,0.165,0.055,0.059000000000000004,0.027000000000000003,0.0125,0.015,4,2.5
1058,I,0.245,0.18,0.065,0.071,0.03,0.013000000000000001,0.0215,4,2.5
1059,I,0.25,0.18,0.065,0.0685,0.0245,0.0155,0.0225,5,3.5
1060,I,0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7,5.5
1061,I,0.275,0.195,0.065,0.106,0.054000000000000006,0.02,0.027999999999999997,6,4.5
1062,I,0.28,0.21,0.085,0.1075,0.0415,0.024,0.034,5,3.5
1063,I,0.285,0.22,0.065,0.096,0.0405,0.0205,0.03,5,3.5
1064,I,0.3,0.22,0.08,0.1255,0.055,0.0265,0.039,6,4.5
1065,I,0.315,0.235,0.055,0.151,0.065,0.027000000000000003,0.039,6,4.5
1066,I,0.32,0.225,0.085,0.1415,0.0675,0.0295,0.0405,6,4.5
1067,I,0.34,0.265,0.08,0.2015,0.09,0.0475,0.055,5,3.5
1068,I,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,6,4.5
1069,I,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6,4.5
1070,I,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,6,4.5
1071,I,0.385,0.29,0.08,0.2485,0.122,0.0495,0.065,7,5.5
1072,I,0.4,0.32,0.095,0.348,0.19399999999999998,0.053,0.087,6,4.5
1073,I,0.405,0.3,0.11,0.32,0.172,0.044000000000000004,0.09300000000000001,7,5.5
1074,I,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,7,5.5
1075,I,0.41,0.325,0.1,0.3245,0.132,0.07200000000000001,0.106,6,4.5
1076,I,0.42,0.3,0.105,0.316,0.1255,0.07,0.1035,7,5.5
1077,I,0.42,0.32,0.11,0.3625,0.174,0.0635,0.105,7,5.5
1078,I,0.42,0.31,0.095,0.27899999999999997,0.1255,0.051,0.08800000000000001,6,4.5
1079,I,0.425,0.325,0.115,0.3685,0.162,0.0865,0.1045,7,5.5
1080,M,0.43,0.335,0.12,0.397,0.1985,0.0865,0.1035,7,5.5
1081,I,0.435,0.33,0.11,0.413,0.2055,0.096,0.096,6,4.5
1082,I,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,7,5.5
1083,I,0.44,0.33,0.11,0.3705,0.1545,0.084,0.12,7,5.5
1084,I,0.445,0.345,0.105,0.409,0.1675,0.1015,0.11699999999999999,7,5.5
1085,I,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7,5.5
1086,I,0.445,0.335,0.11,0.41100000000000003,0.1985,0.0935,0.109,8,6.5
1087,I,0.45,0.365,0.125,0.462,0.2135,0.0985,0.1315,8,6.5
1088,I,0.45,0.34,0.12,0.4925,0.24100000000000002,0.1075,0.12,6,4.5
1089,I,0.45,0.33,0.105,0.3715,0.1865,0.0785,0.0975,7,5.5
1090,I,0.45,0.33,0.1,0.41100000000000003,0.1945,0.1,0.098,6,4.5
1091,I,0.45,0.33,0.11,0.3685,0.16,0.0885,0.102,6,4.5
1092,I,0.46,0.35,0.115,0.4155,0.18,0.098,0.1175,7,5.5
1093,M,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7,5.5
1094,I,0.47,0.38,0.125,0.4845,0.21100000000000002,0.1075,0.142,6,4.5
1095,I,0.475,0.35,0.11,0.4565,0.20600000000000002,0.099,0.13,6,4.5
1096,I,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,7,5.5
1097,I,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,8,6.5
1098,M,0.49,0.465,0.125,0.5225,0.235,0.13,0.141,7,5.5
1099,I,0.5,0.375,0.14,0.5495,0.248,0.11199999999999999,0.1585,7,5.5
1100,I,0.5,0.375,0.12,0.542,0.215,0.11599999999999999,0.17,9,7.5
1101,I,0.5,0.38,0.125,0.519,0.2485,0.1135,0.134,8,6.5
1102,M,0.5,0.39,0.125,0.5215,0.2485,0.11699999999999999,0.131,6,4.5
1103,F,0.505,0.39,0.125,0.5445,0.24600000000000002,0.15,0.1405,7,5.5
1104,I,0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8,6.5
1105,F,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6,4.5
1106,I,0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525,9,7.5
1107,I,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,8,6.5
1108,I,0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8,6.5
1109,M,0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,9,7.5
1110,I,0.52,0.38,0.135,0.5395,0.2295,0.133,0.157,8,6.5
1111,I,0.52,0.38,0.125,0.5545,0.28800000000000003,0.1295,0.16699999999999998,8,6.5
1112,F,0.52,0.46,0.15,1.0190000000000001,0.523,0.1985,0.254,7,5.5
1113,I,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17,8,6.5
1114,I,0.525,0.4,0.14,0.601,0.2625,0.1285,0.1835,9,7.5
1115,M,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9,7.5
1116,I,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8,6.5
1117,I,0.53,0.4,0.125,0.617,0.27899999999999997,0.127,0.19,8,6.5
1118,I,0.535,0.39,0.125,0.599,0.2595,0.149,0.16899999999999998,9,7.5
1119,I,0.54,0.42,0.14,0.6665,0.3125,0.138,0.1895,10,8.5
1120,M,0.545,0.39,0.135,0.7835,0.4225,0.1815,0.156,7,5.5
1121,M,0.545,0.41,0.12,0.7929999999999999,0.434,0.1405,0.19,9,7.5
1122,M,0.545,0.415,0.14,0.82,0.4615,0.127,0.218,9,7.5
1123,F,0.55,0.415,0.135,0.8145,0.42700000000000005,0.1855,0.175,8,6.5
1124,F,0.55,0.43,0.15,0.84,0.395,0.195,0.223,8,6.5
1125,M,0.55,0.425,0.15,0.8315,0.41100000000000003,0.1765,0.2165,10,8.5
1126,M,0.56,0.43,0.145,0.8995,0.46399999999999997,0.1775,0.23399999999999999,9,7.5
1127,M,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,8,6.5
1128,F,0.56,0.44,0.155,0.6405,0.336,0.1765,0.245,8,6.5
1129,M,0.56,0.415,0.145,0.852,0.43,0.1885,0.205,8,6.5
1130,M,0.565,0.455,0.15,0.9595,0.4565,0.2395,0.23,9,7.5
1131,M,0.565,0.435,0.15,0.99,0.5795,0.1825,0.20600000000000002,8,6.5
1132,F,0.565,0.45,0.175,1.0095,0.447,0.2375,0.2645,9,7.5
1133,M,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,9,7.5
1134,F,0.57,0.445,0.145,0.8775,0.41200000000000003,0.217,0.22,8,6.5
1135,I,0.57,0.44,0.15,0.755,0.3425,0.16,0.22399999999999998,8,6.5
1136,F,0.575,0.46,0.145,0.9945,0.466,0.22899999999999998,0.265,7,5.5
1137,F,0.575,0.45,0.16,1.068,0.556,0.214,0.2575,10,8.5
1138,M,0.575,0.435,0.14,0.8455,0.401,0.191,0.222,9,7.5
1139,F,0.575,0.47,0.165,0.8690000000000001,0.435,0.19699999999999998,0.23800000000000002,9,7.5
1140,M,0.575,0.455,0.135,0.907,0.4245,0.19699999999999998,0.26,9,7.5
1141,I,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10,8.5
1142,M,0.575,0.445,0.17,1.0225,0.5489999999999999,0.2175,0.228,9,7.5
1143,M,0.575,0.445,0.145,0.847,0.415,0.1945,0.22,9,7.5
1144,M,0.58,0.455,0.15,1.114,0.4765,0.2155,0.265,8,6.5
1145,M,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9,7.5
1146,M,0.58,0.445,0.135,0.8140000000000001,0.3775,0.1915,0.22,9,7.5
1147,M,0.58,0.45,0.14,0.9615,0.486,0.1815,0.253,9,7.5
1148,M,0.58,0.45,0.145,1.0025,0.547,0.1975,0.2295,8,6.5
1149,F,0.58,0.45,0.155,0.93,0.385,0.24600000000000002,0.265,9,7.5
1150,M,0.585,0.46,0.145,0.9335,0.478,0.1825,0.235,9,7.5
1151,M,0.585,0.465,0.16,0.9555,0.4595,0.23600000000000002,0.265,7,5.5
1152,M,0.59,0.47,0.15,0.9955,0.48100000000000004,0.23199999999999998,0.24,8,6.5
1153,F,0.6,0.475,0.16,1.0265,0.485,0.2495,0.2565,9,7.5
1154,M,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,8,6.5
1155,F,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,8,6.5
1156,M,0.6,0.465,0.155,1.0165,0.512,0.2465,0.225,10,8.5
1157,F,0.605,0.47,0.165,1.1775,0.611,0.2275,0.292,9,7.5
1158,M,0.605,0.475,0.14,1.1175,0.555,0.257,0.27399999999999997,9,7.5
1159,M,0.605,0.48,0.17,1.1835,0.5820000000000001,0.2365,0.317,10,8.5
1160,F,0.605,0.475,0.165,1.056,0.433,0.2195,0.35700000000000004,9,7.5
1161,M,0.61,0.485,0.16,1.0145,0.5315,0.212,0.2415,8,6.5
1162,M,0.61,0.485,0.145,1.3305,0.7829999999999999,0.2255,0.2865,9,7.5
1163,M,0.61,0.47,0.165,1.052,0.498,0.242,0.267,9,7.5
1164,M,0.615,0.46,0.17,1.0565,0.4815,0.272,0.27,10,8.5
1165,F,0.615,0.465,0.15,0.9229999999999999,0.4615,0.1825,0.2415,9,7.5
1166,F,0.615,0.475,0.155,1.0270000000000001,0.447,0.25,0.285,9,7.5
1167,M,0.62,0.47,0.135,1.0195,0.5315,0.2005,0.2475,8,6.5
1168,M,0.62,0.45,0.2,0.858,0.4285,0.1525,0.2405,8,6.5
1169,F,0.62,0.48,0.16,1.1125,0.5635,0.2445,0.281,8,6.5
1170,F,0.625,0.485,0.175,1.3745,0.7335,0.2715,0.332,9,7.5
1171,M,0.625,0.48,0.185,1.2065,0.5870000000000001,0.29,0.28600000000000003,8,6.5
1172,M,0.63,0.47,0.155,1.1325,0.589,0.21100000000000002,0.287,8,6.5
1173,M,0.63,0.5,0.175,1.2645,0.5635,0.3065,0.3425,10,8.5
1174,F,0.635,0.495,0.015,1.1565,0.5115,0.308,0.2885,9,7.5
1175,M,0.64,0.515,0.165,1.369,0.632,0.3415,0.358,10,8.5
1176,M,0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,10,8.5
1177,F,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10,8.5
1178,F,0.65,0.5,0.19,1.464,0.6415,0.33899999999999997,0.4245,9,7.5
1179,M,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11,9.5
1180,M,0.655,0.515,0.16,1.31,0.5529999999999999,0.369,0.345,11,9.5
1181,F,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10,8.5
1182,F,0.66,0.53,0.185,1.3459999999999999,0.546,0.2705,0.47600000000000003,11,9.5
1183,M,0.665,0.525,0.16,1.3630000000000002,0.629,0.27899999999999997,0.34,8,6.5
1184,I,0.665,0.5,0.17,1.2975,0.6035,0.29100000000000004,0.3595,9,7.5
1185,F,0.67,0.505,0.205,1.3645,0.6075,0.3025,0.353,9,7.5
1186,F,0.685,0.54,0.215,1.7025,0.664,0.3655,0.4735,14,12.5
1187,M,0.685,0.52,0.165,1.5190000000000001,0.6990000000000001,0.3685,0.4,10,8.5
1188,F,0.69,0.54,0.155,1.454,0.624,0.3105,0.39,9,7.5
1189,M,0.69,0.53,0.21,1.5830000000000002,0.7355,0.405,0.3865,12,10.5
1190,F,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9,7.5
1191,M,0.695,0.56,0.185,1.74,0.885,0.3715,0.4375,10,8.5
1192,M,0.7,0.565,0.18,1.751,0.895,0.3355,0.446,9,7.5
1193,M,0.7,0.575,0.19,2.273,1.095,0.418,0.638,12,10.5
1194,F,0.7,0.525,0.19,1.6465,0.8545,0.307,0.3995,9,7.5
1195,F,0.705,0.55,0.17,1.219,0.6395,0.23600000000000002,0.301,9,7.5
1196,F,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11,9.5
1197,M,0.715,0.55,0.19,2.0045,1.0465,0.40700000000000003,0.5075,12,10.5
1198,M,0.715,0.535,0.19,1.6755,0.889,0.313,0.42,10,8.5
1199,F,0.72,0.58,0.195,2.103,1.0265,0.48,0.5375,10,8.5
1200,F,0.72,0.55,0.2,1.9965,0.9035,0.469,0.5215,10,8.5
1201,M,0.72,0.565,0.145,1.187,0.691,0.1945,0.2685,8,6.5
1202,M,0.725,0.505,0.185,1.9780000000000002,1.026,0.4255,0.4505,12,10.5
1203,F,0.73,0.575,0.185,1.8795,0.9309999999999999,0.38,0.4825,12,10.5
1204,M,0.735,0.585,0.185,2.124,0.9520000000000001,0.55,0.5,11,9.5
1205,M,0.745,0.565,0.215,1.931,0.8959999999999999,0.4585,0.5,11,9.5
1206,F,0.75,0.57,0.21,2.2359999999999998,1.109,0.5195,0.545,11,9.5
1207,F,0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11,9.5
1208,M,0.755,0.58,0.205,2.0065,0.8295,0.4015,0.595,10,8.5
1209,F,0.78,0.63,0.215,2.657,1.4880000000000002,0.4985,0.586,11,9.5
1210,I,0.185,0.375,0.12,0.4645,0.196,0.1045,0.15,6,4.5
1211,I,0.245,0.205,0.06,0.0765,0.034,0.013999999999999999,0.0215,4,2.5
1212,I,0.25,0.185,0.065,0.0685,0.0295,0.013999999999999999,0.0225,5,3.5
1213,I,0.25,0.19,0.065,0.0835,0.039,0.015,0.025,5,3.5
1214,I,0.275,0.195,0.09,0.1125,0.0545,0.0295,0.0355,6,4.5
1215,I,0.305,0.215,0.065,0.1075,0.044000000000000004,0.0205,0.038,5,3.5
1216,I,0.31,0.225,0.07,0.1055,0.435,0.015,0.04,5,3.5
1217,I,0.315,0.23,0.08,0.1375,0.0545,0.031,0.0445,5,3.5
1218,I,0.315,0.23,0.07,0.1145,0.046,0.0235,0.0385,5,3.5
1219,I,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6,4.5
1220,I,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052000000000000005,7,5.5
1221,I,0.33,0.205,0.095,0.1595,0.077,0.032,0.0435,5,3.5
1222,I,0.335,0.245,0.09,0.2015,0.096,0.0405,0.048,7,5.5
1223,I,0.34,0.25,0.09,0.179,0.0775,0.033,0.055,6,4.5
1224,I,0.345,0.255,0.095,0.1945,0.0925,0.037000000000000005,0.055,6,4.5
1225,I,0.345,0.255,0.085,0.2005,0.105,0.037000000000000005,0.05,5,3.5
1226,I,0.35,0.27,0.075,0.215,0.1,0.036000000000000004,0.065,6,4.5
1227,I,0.35,0.255,0.09,0.1785,0.0855,0.0305,0.0525,8,6.5
1228,I,0.36,0.27,0.085,0.196,0.0875,0.035,0.064,4,2.5
1229,I,0.365,0.27,0.085,0.1875,0.081,0.042,0.057999999999999996,6,4.5
1230,I,0.365,0.27,0.085,0.196,0.0825,0.0375,0.06,7,5.5
1231,I,0.365,0.265,0.085,0.213,0.0945,0.049,0.06,7,5.5
1232,I,0.37,0.29,0.09,0.2445,0.08900000000000001,0.0655,0.075,7,5.5
1233,I,0.37,0.28,0.085,0.217,0.1095,0.035,0.062,6,4.5
1234,I,0.375,0.29,0.095,0.213,0.096,0.040999999999999995,0.061,5,3.5
1235,I,0.375,0.29,0.085,0.2385,0.11800000000000001,0.045,0.0695,7,5.5
1236,I,0.375,0.275,0.09,0.218,0.09300000000000001,0.0405,0.0755,6,4.5
1237,I,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,6,4.5
1238,I,0.375,0.28,0.08,0.2025,0.0825,0.048,0.065,8,6.5
1239,I,0.375,0.27,0.085,0.218,0.0945,0.039,0.07,7,5.5
1240,I,0.38,0.275,0.11,0.256,0.11,0.0535,0.0755,6,4.5
1241,I,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8,6.5
1242,I,0.385,0.29,0.09,0.2615,0.111,0.0595,0.0745,9,7.5
1243,I,0.385,0.28,0.085,0.2175,0.09699999999999999,0.038,0.067,8,6.5
1244,I,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,7,5.5
1245,I,0.385,0.28,0.09,0.228,0.1025,0.042,0.0655,5,3.5
1246,I,0.39,0.3,0.095,0.3265,0.1665,0.0575,0.08900000000000001,7,5.5
1247,I,0.395,0.305,0.105,0.284,0.1135,0.0595,0.0945,8,6.5
1248,I,0.395,0.295,0.095,0.2725,0.115,0.0625,0.085,8,6.5
1249,I,0.395,0.27,0.1,0.2985,0.1445,0.061,0.08199999999999999,5,3.5
1250,I,0.4,0.29,0.1,0.2675,0.1205,0.0605,0.0765,5,3.5
1251,I,0.405,0.285,0.09,0.2645,0.1265,0.0505,0.075,6,4.5
1252,I,0.41,0.335,0.11,0.33,0.157,0.0705,0.17,7,5.5
1253,I,0.42,0.305,0.09,0.32799999999999996,0.168,0.0615,0.08199999999999999,6,4.5
1254,I,0.425,0.325,0.11,0.3335,0.17300000000000001,0.045,0.1,7,5.5
1255,I,0.425,0.32,0.1,0.3055,0.126,0.06,0.106,7,5.5
1256,I,0.425,0.31,0.09,0.301,0.1385,0.065,0.08,7,5.5
1257,I,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,8,6.5
1258,I,0.43,0.315,0.095,0.37799999999999995,0.175,0.08,0.1045,8,6.5
1259,I,0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12,7,5.5
1260,I,0.44,0.34,0.12,0.43799999999999994,0.2115,0.083,0.12,9,7.5
1261,I,0.45,0.33,0.105,0.44799999999999995,0.20800000000000002,0.08900000000000001,0.12,9,7.5
1262,I,0.455,0.345,0.105,0.4005,0.16399999999999998,0.0755,0.126,8,6.5
1263,F,0.455,0.365,0.115,0.4305,0.184,0.10800000000000001,0.1245,8,6.5
1264,I,0.455,0.33,0.1,0.37200000000000005,0.358,0.0775,0.11,8,6.5
1265,I,0.46,0.36,0.105,0.466,0.2225,0.099,0.11,7,5.5
1266,I,0.46,0.35,0.105,0.3705,0.1575,0.077,0.114,9,7.5
1267,F,0.46,0.365,0.125,0.4785,0.20600000000000002,0.1045,0.141,8,6.5
1268,I,0.465,0.34,0.11,0.34600000000000003,0.1425,0.073,0.113,11,9.5
1269,I,0.47,0.365,0.1,0.41100000000000003,0.175,0.0855,0.135,8,6.5
1270,I,0.47,0.355,0.18,0.48,0.2055,0.105,0.1505,8,6.5
1271,I,0.47,0.355,0.12,0.39299999999999996,0.16699999999999998,0.0885,0.115,8,6.5
1272,I,0.475,0.355,0.1,0.5035,0.2535,0.091,0.14,8,6.5
1273,I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8,6.5
1274,I,0.475,0.36,0.11,0.49200000000000005,0.21100000000000002,0.11,0.15,8,6.5
1275,I,0.48,0.37,0.125,0.5435,0.244,0.10099999999999999,0.165,9,7.5
1276,I,0.48,0.355,0.115,0.4725,0.2065,0.11199999999999999,0.132,8,6.5
1277,I,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,8,6.5
1278,I,0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,8,6.5
1279,I,0.495,0.38,0.13,0.5125,0.2185,0.11599999999999999,0.16,7,5.5
1280,M,0.495,0.395,0.12,0.5529999999999999,0.22399999999999998,0.1375,0.16699999999999998,8,6.5
1281,I,0.5,0.38,0.135,0.594,0.2945,0.10400000000000001,0.1565,9,7.5
1282,M,0.5,0.42,0.135,0.6765,0.302,0.1415,0.2065,9,7.5
1283,I,0.5,0.375,0.145,0.5795,0.239,0.1375,0.185,9,7.5
1284,I,0.5,0.41,0.14,0.6615,0.2585,0.1625,0.196,9,7.5
1285,I,0.5,0.375,0.125,0.5695,0.259,0.124,0.157,7,5.5
1286,I,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,9,7.5
1287,I,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8,6.5
1288,I,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7,5.5
1289,I,0.505,0.395,0.105,0.551,0.248,0.10300000000000001,0.171,8,6.5
1290,I,0.515,0.38,0.12,0.625,0.3265,0.1295,0.16,7,5.5
1291,I,0.515,0.42,0.135,0.711,0.337,0.14400000000000002,0.205,13,11.5
1292,I,0.515,0.4,0.135,0.6965,0.32,0.1255,0.175,9,7.5
1293,I,0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,10,8.5
1294,I,0.52,0.395,0.125,0.6629999999999999,0.3005,0.131,0.1905,9,7.5
1295,I,0.525,0.4,0.125,0.6965,0.369,0.1385,0.16399999999999998,9,7.5
1296,M,0.525,0.42,0.155,0.8420000000000001,0.428,0.1415,0.2045,9,7.5
1297,I,0.53,0.415,0.13,0.6940000000000001,0.3905,0.111,0.16699999999999998,9,7.5
1298,I,0.53,0.42,0.155,0.81,0.4725,0.111,0.192,10,8.5
1299,I,0.53,0.415,0.11,0.5745,0.2525,0.1235,0.18899999999999997,9,7.5
1300,I,0.53,0.425,0.13,0.7675,0.419,0.1205,0.21,9,7.5
1301,I,0.535,0.4,0.135,0.6025,0.2895,0.121,0.154,9,7.5
1302,I,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,8,6.5
1303,F,0.535,0.41,0.13,0.7145,0.335,0.14400000000000002,0.2075,9,7.5
1304,M,0.535,0.435,0.15,0.7170000000000001,0.3475,0.1445,0.19399999999999998,9,7.5
1305,F,0.54,0.42,0.145,0.8655,0.4315,0.163,0.2175,10,8.5
1306,I,0.54,0.42,0.14,0.7265,0.3205,0.1445,0.22899999999999998,9,7.5
1307,I,0.545,0.435,0.135,0.7715,0.37200000000000005,0.14800000000000002,0.22699999999999998,8,6.5
1308,F,0.545,0.445,0.15,0.8,0.3535,0.163,0.207,9,7.5
1309,I,0.545,0.43,0.15,0.7285,0.302,0.1315,0.2545,10,8.5
1310,I,0.545,0.405,0.135,0.5945,0.27,0.1185,0.185,8,6.5
1311,I,0.55,0.43,0.145,0.7895,0.3745,0.171,0.223,11,9.5
1312,F,0.55,0.405,0.125,0.6509999999999999,0.2965,0.13699999999999998,0.2,9,7.5
1313,M,0.55,0.43,0.15,0.8745,0.413,0.1905,0.248,9,7.5
1314,I,0.55,0.435,0.14,0.7535,0.3285,0.1555,0.2325,10,8.5
1315,I,0.55,0.425,0.135,0.7305,0.3325,0.1545,0.215,9,7.5
1316,M,0.555,0.44,0.14,0.8705,0.40700000000000003,0.156,0.255,9,7.5
1317,I,0.555,0.43,0.155,0.7395,0.3135,0.1435,0.28,10,8.5
1318,I,0.555,0.43,0.14,0.7665,0.341,0.165,0.23,9,7.5
1319,I,0.555,0.425,0.145,0.7905,0.3485,0.1765,0.225,9,7.5
1320,I,0.56,0.425,0.135,0.8205,0.3715,0.185,0.23600000000000002,9,7.5
1321,I,0.56,0.425,0.145,0.688,0.3095,0.1305,0.2165,9,7.5
1322,F,0.56,0.445,0.155,1.224,0.5565,0.3225,0.2695,10,8.5
1323,I,0.56,0.455,0.145,0.9740000000000001,0.547,0.1615,0.235,9,7.5
1324,I,0.565,0.44,0.175,0.8735,0.414,0.21,0.21,11,9.5
1325,F,0.565,0.45,0.145,0.8495,0.4215,0.1685,0.225,8,6.5
1326,M,0.565,0.445,0.15,0.7959999999999999,0.3635,0.184,0.21899999999999997,8,6.5
1327,M,0.565,0.39,0.125,0.7440000000000001,0.35200000000000004,0.13,0.1685,11,9.5
1328,I,0.57,0.45,0.145,0.7509999999999999,0.2825,0.2195,0.2215,10,8.5
1329,I,0.57,0.45,0.135,0.794,0.3815,0.1415,0.245,8,6.5
1330,F,0.57,0.46,0.135,0.9795,0.397,0.2525,0.2655,9,7.5
1331,M,0.57,0.435,0.17,0.873,0.382,0.183,0.2705,10,8.5
1332,I,0.57,0.44,0.13,0.7665,0.34700000000000003,0.1785,0.20199999999999999,10,8.5
1333,M,0.57,0.435,0.125,0.8965,0.38299999999999995,0.1835,0.275,9,7.5
1334,F,0.575,0.42,0.135,0.857,0.461,0.147,0.2125,10,8.5
1335,F,0.575,0.48,0.165,1.078,0.511,0.2095,0.306,9,7.5
